key,place,geonames_url,gnd_url,lat,lon,source
name:Danzig,Danzig,https://www.geonames.org/3099434,,54.35227,18.64912,bestand
name:Dessau,Dessau,https://www.geonames.org/2937959,,51.83864,12.24555,bestand
https://www.geonames.org/2937959,Dessau,https://www.geonames.org/2937959,,51.83864,12.24555,bestand
name:Dittersbach,Dittersbach,https://www.geonames.org/2936744,,51.0401,13.98302,bestand
https://www.geonames.org/2936744,Dittersbach,https://www.geonames.org/2936744,,51.0401,13.98302,bestand
name:Dornburg/Saale,Dornburg/Saale,https://www.geonames.org/2935741,,51.00736,11.6633,bestand
https://www.geonames.org/2935741,Dornburg/Saale,https://www.geonames.org/2935741,,51.00736,11.6633,bestand
https://www.geonames.org/2935022,Dresden,https://www.geonames.org/2935022,,51.05089,13.73832,bestand
name:Dresden,Dresden,https://www.geonames.org/2935022,,51.05089,13.73832,bestand
https://www.geonames.org/3089832,Drossen,https://www.geonames.org/3089832,,52.4536,14.87549,bestand
name:Drossen,Drossen,https://www.geonames.org/3089832,,52.4536,14.87549,bestand
name:Eisenach,Eisenach,,https://d-nb.info/gnd/2009365-2,50.980699,10.31522,bestand
https://d-nb.info/gnd/2009365-2,Eisenach,,https://d-nb.info/gnd/2009365-2,50.980699,10.31522,bestand
https://www.geonames.org/2930672,Elstra,https://www.geonames.org/2930672,,51.22172,14.13201,bestand
name:Elstra,Elstra,https://www.geonames.org/2930672,,51.22172,14.13201,bestand
name:Erfurt,Erfurt,https://www.geonames.org/2929670,,50.9787,11.03283,bestand
https://www.geonames.org/2929670,Erfurt,https://www.geonames.org/2929670,,50.9787,11.03283,bestand
name:Erlangen,Erlangen,https://www.geonames.org/2929567,,49.59099,11.00783,bestand
https://www.geonames.org/2929567,Erlangen,https://www.geonames.org/2929567,,49.59099,11.00783,bestand
name:Eutin,Eutin,https://www.geonames.org/2928381,,54.14054,10.60751,bestand
https://www.geonames.org/2928381,Eutin,https://www.geonames.org/2928381,,54.14054,10.60751,bestand
name:Fehrbellin-Lentzke,Fehrbellin-Lentzke,,https://d-nb.info/gnd/10121950-7,52.8003496,12.7053613,bestand
https://d-nb.info/gnd/10121950-7,Fehrbellin-Lentzke,,https://d-nb.info/gnd/10121950-7,52.8003496,12.7053613,bestand
name:Finckenstein,Finckenstein,https://www.geonames.org/3096799,,53.76921,19.37439,bestand
https://www.geonames.org/3096799,Finckenstein,https://www.geonames.org/3096799,,53.76921,19.37439,bestand
https://www.geonames.org/2926670,Finsterwalde,https://www.geonames.org/2926670,,51.63388,13.70662,bestand
name:Finsterwalde,Finsterwalde,https://www.geonames.org/2926670,,51.63388,13.70662,bestand
https://www.geonames.org/2925535,Frankfurt (Oder),https://www.geonames.org/2925535,,52.34714,14.55062,bestand
name:Frankfurt (Oder),Frankfurt (Oder),https://www.geonames.org/2925535,,52.34714,14.55062,bestand
https://www.geonames.org/2925533,Frankfurt am Main,https://www.geonames.org/2925533,,50.11552,8.68417,bestand
