letter_id,role,place,geonames_url,gnd_url,lat,lon,source
2770,destination,Tharandt,,https://d-nb.info/gnd/4106217-6,50.98525,13.580349,gnd
7599,destination,Fehrbellin-Lentzke,,https://d-nb.info/gnd/10121950-7,,,none
7600,destination,Fehrbellin-Lentzke,,https://d-nb.info/gnd/10121950-7,,,none
12782,destination,Piercefield House (Chepstow),,https://d-nb.info/gnd/4090357-6,,,none
16815,destination,London,,https://d-nb.info/gnd/4074335-4,51.50853,-0.12574,gnd
16895,destination,Leiden,,https://d-nb.info/gnd/4074118-7,52.158329,4.493059,gnd
16898,destination,Leiden,,https://d-nb.info/gnd/4074118-7,52.158329,4.493059,gnd
16995,destination,"Steinau, Oder",,https://d-nb.info/gnd/2084741-5,,,none
17048,destination,Fehrbellin-Lentzke,,https://d-nb.info/gnd/10121950-7,,,none
17058,destination,Arnstadt,,https://d-nb.info/gnd/4003011-8,50.840479,10.95198,gnd
17069,destination,Fehrbellin-Lentzke,,https://d-nb.info/gnd/10121950-7,,,none
17081,destination,Wien,,https://d-nb.info/gnd/4066009-6,48.208199,16.37169,gnd
18425,destination,Wien,,https://d-nb.info/gnd/4066009-6,48.208199,16.37169,gnd
18526,destination,Auerstedt,,https://d-nb.info/gnd/4079866-5,51.099722,11.589166,gnd
18528,destination,Auerstedt,,https://d-nb.info/gnd/4079866-5,51.099722,11.589166,gnd
18556,destination,Plugawice,,,,,none
18953,destination,Les Ormes,,,,,none
19681,destination,Neuenburg (Schweiz),,https://d-nb.info/gnd/4075303-7,46.991666,6.930833,gnd
19683,destination,Neuenburg (Schweiz),,https://d-nb.info/gnd/4075303-7,46.991666,6.930833,gnd
