letter_id,place_id,place,gnd,geonames
882,13,Dresden,https://d-nb.info/gnd/37172-5,https://www.geonames.org/2935022
882,2,Göttingen,https://d-nb.info/gnd/4021477-1,https://www.geonames.org/2918632
882,173,Hannover,https://d-nb.info/gnd/4023349-2,https://www.geonames.org/2910831
882,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
882,2807,Moringen,https://d-nb.info/gnd/4040265-4,
883,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
883,58,Weimar,https://d-nb.info/gnd/4065105-8,https://www.geonames.org/2812482
884,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
884,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
884,22,Leipzig,https://d-nb.info/gnd/4035206-7,https://www.geonames.org/2879139
885,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
885,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
885,58,Weimar,https://d-nb.info/gnd/4065105-8,https://www.geonames.org/2812482
886,2,Göttingen,https://d-nb.info/gnd/4021477-1,https://www.geonames.org/2918632
886,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
886,22,Leipzig,https://d-nb.info/gnd/4035206-7,https://www.geonames.org/2879139
887,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
887,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
887,58,Weimar,https://d-nb.info/gnd/4065105-8,https://www.geonames.org/2812482
887,2825,Züllichau,https://d-nb.info/gnd/4119257-6,
888,58,Weimar,https://d-nb.info/gnd/4065105-8,https://www.geonames.org/2812482
889,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
889,14,Gotha,https://d-nb.info/gnd/4021652-4,https://www.geonames.org/2918752
889,897,Mainz,https://d-nb.info/gnd/2018680-0,https://www.geonames.org/2874225
889,58,Weimar,https://d-nb.info/gnd/4065105-8,https://www.geonames.org/2812482
890,171,Paris,https://d-nb.info/gnd/4044660-8,https://www.geonames.org/2988507
890,58,Weimar,https://d-nb.info/gnd/4065105-8,https://www.geonames.org/2812482
891,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
892,15,Berlin,https://d-nb.info/gnd/2004272-3,https://www.geonames.org/2950159
892,13,Dresden,https://d-nb.info/gnd/37172-5,https://www.geonames.org/2935022
892,2,Göttingen,https://d-nb.info/gnd/4021477-1,https://www.geonames.org/2918632
892,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
892,1197,Neustrelitz,https://d-nb.info/gnd/4101150-8,https://www.geonames.org/2864005
894,1018,Breslau,https://d-nb.info/gnd/2005949-8,https://www.geonames.org/3081368
894,327,Frankfurt am Main,https://d-nb.info/gnd/4018118-2,https://www.geonames.org/2925533
894,172,Köln,https://d-nb.info/gnd/4031483-2,
894,58,Weimar,https://d-nb.info/gnd/4065105-8,https://www.geonames.org/2812482
895,229,Halle (Saale),https://d-nb.info/gnd/4023025-9,https://www.geonames.org/2911522
895,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
895,58,Weimar,https://d-nb.info/gnd/4065105-8,https://www.geonames.org/2812482
896,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
896,58,Weimar,https://d-nb.info/gnd/4065105-8,https://www.geonames.org/2812482
897,13,Dresden,https://d-nb.info/gnd/37172-5,https://www.geonames.org/2935022
897,14,Gotha,https://d-nb.info/gnd/4021652-4,https://www.geonames.org/2918752
897,12,Jena,https://d-nb.info/gnd/4028557-1,https://www.geonames.org/2895044
897,58,Weimar,https://d-nb.info/gnd/4065105-8,https://www.geonames.org/2812482
