Date,Sender,Recipient,Place of Dispatch,Place of Destination,Dispatch_GeoNames,Destination_GeoNames,link
[Ende März/April 1797],August Wilhelm von Schlegel,Johann Friedrich August Tischbein,Jena,Dessau,https://www.geonames.org/2895044,https://www.geonames.org/2937959,https://briefe-der-romantik.de/letters/view/6059?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6060?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6061?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6062?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6063?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6064?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6065?left=text&query_id=6773ee556fe85
"Donnerstag, 13. Februar 1794",August Wilhelm von Schlegel,Georg Joachim Göschen,Amsterdam,Leipzig,https://www.geonames.org/2759794,https://www.geonames.org/2879139,https://briefe-der-romantik.de/letters/view/6066?left=text&query_id=6773ee556fe85
"Montag, 23. Juni 1794",August Wilhelm von Schlegel,Georg Joachim Göschen,Amsterdam,Leipzig,https://www.geonames.org/2759794,https://www.geonames.org/2879139,https://briefe-der-romantik.de/letters/view/6067?left=text&query_id=6773ee556fe85
"Sonntag, 14. Dezember 1794",August Wilhelm von Schlegel,Georg Joachim Göschen,Amsterdam,Leipzig,https://www.geonames.org/2759794,https://www.geonames.org/2879139,https://briefe-der-romantik.de/letters/view/6068?left=text&query_id=6773ee556fe85
"Dienstag, 23. Juni 1795",August Wilhelm von Schlegel,Georg Joachim Göschen,Amsterdam,Leipzig,https://www.geonames.org/2759794,https://www.geonames.org/2879139,https://briefe-der-romantik.de/letters/view/6069?left=text&query_id=6773ee556fe85
"Montag, 17. Oktober 1796",August Wilhelm von Schlegel,Georg Joachim Göschen,Jena,Leipzig,https://www.geonames.org/2895044,https://www.geonames.org/2879139,https://briefe-der-romantik.de/letters/view/6070?left=text&query_id=6773ee556fe85
"Montag, 14. November 1796",August Wilhelm von Schlegel,Georg Joachim Göschen,Jena,Leipzig,https://www.geonames.org/2895044,https://www.geonames.org/2879139,https://briefe-der-romantik.de/letters/view/6071?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6072?left=text&query_id=6773ee556fe85
"Donnerstag,  1. Dezember 1796",August Wilhelm von Schlegel,Georg Joachim Göschen,Jena,Leipzig,https://www.geonames.org/2895044,https://www.geonames.org/2879139,https://briefe-der-romantik.de/letters/view/6073?left=text&query_id=6773ee556fe85
"Montag, 22. Mai 1797",August Wilhelm von Schlegel,Georg Joachim Göschen,Jena,Leipzig,https://www.geonames.org/2895044,https://www.geonames.org/2879139,https://briefe-der-romantik.de/letters/view/6074?left=text&query_id=6773ee556fe85
"Donnerstag, 14. September 1797",August Wilhelm von Schlegel,Georg Joachim Göschen,Jena,Leipzig,https://www.geonames.org/2895044,https://www.geonames.org/2879139,https://briefe-der-romantik.de/letters/view/6075?left=text&query_id=6773ee556fe85
"Donnerstag, 21. September 1797",August Wilhelm von Schlegel,Georg Joachim Göschen,Jena,Leipzig,https://www.geonames.org/2895044,https://www.geonames.org/2879139,https://briefe-der-romantik.de/letters/view/6076?left=text&query_id=6773ee556fe85
"Donnerstag, 28. September 1797",August Wilhelm von Schlegel,Georg Joachim Göschen,Jena,Leipzig,https://www.geonames.org/2895044,https://www.geonames.org/2879139,https://briefe-der-romantik.de/letters/view/6077?left=text&query_id=6773ee556fe85
"Freitag, 13. Oktober 1797",August Wilhelm von Schlegel,Georg Joachim Göschen,Jena,Leipzig,https://www.geonames.org/2895044,https://www.geonames.org/2879139,https://briefe-der-romantik.de/letters/view/6078?left=text&query_id=6773ee556fe85
"Montag, 23. Oktober 1797",August Wilhelm von Schlegel,Georg Joachim Göschen,Jena,Leipzig,https://www.geonames.org/2895044,https://www.geonames.org/2879139,https://briefe-der-romantik.de/letters/view/6079?left=text&query_id=6773ee556fe85
"Dienstag,  3. Juli 1798",August Wilhelm von Schlegel,Georg Joachim Göschen,Dresden,Leipzig,https://www.geonames.org/2935022,https://www.geonames.org/2879139,https://briefe-der-romantik.de/letters/view/6080?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6081?left=text&query_id=6773ee556fe85
"Samstag,  5. April 1800",August Wilhelm von Schlegel,"Johann Friedrich Hartknoch, der Jüngere",Jena,Rudolstadt,https://www.geonames.org/2895044,https://www.geonames.org/2843355,https://briefe-der-romantik.de/letters/view/6082?left=text&query_id=6773ee556fe85
"Montag, 29. Dezember 1801",August Wilhelm von Schlegel,Georg Joachim Göschen,Braunschweig,Leipzig,https://www.geonames.org/2945024,https://www.geonames.org/2879139,https://briefe-der-romantik.de/letters/view/6083?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6084?left=text&query_id=6773ee556fe85
"Samstag, 22. März 1794",August Wilhelm von Schlegel,Georg Joachim Göschen,Amsterdam,Leipzig,https://www.geonames.org/2759794,https://www.geonames.org/2879139,https://briefe-der-romantik.de/letters/view/6085?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6086?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6087?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6088?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6089?left=text&query_id=6773ee556fe85
"Donnerstag,  7. März 1799",August Wilhelm von Schlegel,"Johann Friedrich Hartknoch, der Jüngere",Jena,Rudolstadt,https://www.geonames.org/2895044,https://www.geonames.org/2843355,https://briefe-der-romantik.de/letters/view/6090?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6091?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6092?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6093?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6094?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6095?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6096?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6097?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6098?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6099?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6100?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6101?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6102?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6103?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6104?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6105?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6106?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6107?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6108?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6109?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6110?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6111?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6112?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6113?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6114?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6115?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6116?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6117?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6118?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6119?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6120?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6121?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6122?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6123?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6124?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6125?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6126?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6127?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6128?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6129?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6130?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6131?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6132?left=text&query_id=6773ee556fe85
"Freitag, 18. Oktober 1799",August Wilhelm von Schlegel,Matthias Friedrich Nicolovius,Jena,Königsberg,https://www.geonames.org/2895044,https://www.geonames.org/554234,https://briefe-der-romantik.de/letters/view/6133?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6134?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6135?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6136?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6137?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6138?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6139?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6140?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6141?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6142?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6143?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6144?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6145?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6146?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6147?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6148?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6149?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6150?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6151?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6152?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6153?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6154?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6155?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6156?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6157?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6158?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6159?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6160?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6161?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6162?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6163?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6164?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6165?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6166?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6167?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6168?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6169?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6170?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6171?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6172?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6173?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6174?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6175?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6176?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6177?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6178?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6179?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6180?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6181?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6182?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6183?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6184?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6185?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6186?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6187?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6188?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6189?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6190?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6191?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6192?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6193?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6194?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6195?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6196?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6197?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6198?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6199?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6200?left=text&query_id=6773ee556fe85
[um 1800],August Wilhelm von Schlegel,Ludwig Tieck,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6201?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6202?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6203?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6204?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6205?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6206?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6207?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6208?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6209?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6210?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6211?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6212?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6213?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6214?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6215?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6216?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6217?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6218?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6219?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6220?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6221?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6222?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6223?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6224?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6225?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6226?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6227?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6228?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6229?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6230?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6231?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6232?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6233?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6234?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6235?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6236?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6237?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6238?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6239?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6240?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6241?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6242?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6243?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6244?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6245?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6246?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6247?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6248?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6249?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6250?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6251?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/6252?left=text&query_id=6773ee556fe85
