Date,Sender,Recipient,Place of Dispatch,Place of Destination,Dispatch_GeoNames,Destination_GeoNames,link
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/33?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/34?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/35?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/36?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/37?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/38?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/39?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/40?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/41?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/42?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/43?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/44?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/45?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/46?left=text&query_id=6773ee556fe85
Unknown,Unknown,Unknown,Unknown,Unknown,,,https://briefe-der-romantik.de/letters/view/47?left=text&query_id=6773ee556fe85
